930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  CT     CT     OH        	   50.00000             109.50000      
  CT_2   CT     OH        	   50.00000             109.50000      
  CT     CT_4   OH        	   50.00000             109.50000      
  CA     CT     OH        	   50.00000             109.50000      
  CT     CT     OS        	   50.00000             109.50000      
  CA     CT     OS        	   50.00000             109.50000      
  CT     CT     S         	   50.00000             114.70000      
  CT_2   CT     S         	   50.00000             114.70000      
  CT     CT     SH        	   50.00000             108.60000      
  CT_2   CT     SH        	   50.00000             108.60000      
  CA     CT     S         	   50.00000             114.70000      
  CW     CT     S         	   50.00000             114.70000      
  CT     NT     H         	   35.00000             109.50000      
  CT_3   NT     H         	   35.00000             109.50000      
  CT_2   NT     H         	   35.00000             109.50000      
  CA     NT     H         	   35.00000             111.00000      
  CA     NT     CT        	   50.00000             109.50000      
  CT     NT     CT        	   51.79995             107.20000      
  CT     NT     C3        	   51.79995             107.20000      
  C3     NT     C3        	   51.79995             107.20000      
  HC     CT     HC        	   33.00000             107.80000      
  HC     CT_2   HC        	   33.00000             107.80000      
  HC     CT_3   HC        	   33.00000             107.80000      
  HC     CT_4   HC        	   33.00000             107.80000      
  CY     CY     HC        	   37.50000             117.20000      
  CY     CY     CY        	   30.00000             60.00000       
  CY     CY     CT        	   37.50000             117.20000      
  CY     CT     HC        	   37.50000             110.70000      
  HC     CY     HC        	   35.00000             114.30000      
  HC     CY     CT        	   35.00000             114.30000      
  CY     CY     NC        	   80.00000             89.00000       
  HC     CY     NC        	   35.00000             109.50000      
  HC     CY     N         	   35.00000             108.00000      
  CY     CY     N         	   37.50000             126.00000      
  HC     CY     S         	   37.50000             108.00000      
  CY     CY     S         	   55.00000             128.00000      
  CY     N      C         	   55.00000             128.00000      
  CY     N      H         	   40.00000             113.00000      
  CY     S      CT        	   62.00000             94.00000       
  HC     CT     N         	   35.00000             109.50000      
  HC     CT_2   N         	   35.00000             109.50000      
  HC     CT_3   N         	   35.00000             109.50000      
  HC     CT_3   NT        	   35.00000             109.50000      
  HC     CT     N*        	   35.00000             109.50000      
  HC     CT     NA        	   35.00000             109.50000      
  HC     CT     N2        	   35.00000             109.50000      
  HC     CT     N3        	   35.00000             109.50000      
  HC     CT_2   N3        	   35.00000             109.50000      
  HC     CT_3   N3        	   35.00000             109.50000      
  HC     CT     NT        	   35.00000             109.50000      
  HC     CT_2   NT        	   35.00000             109.50000      
  HC     CT     NC        	   35.00000             109.50000      
  HC     CT     OH        	   35.00000             109.50000      
  C      CT     OH        	   50.00000             109.50000      
